Date,Ticker,Open,High,Low,Close,Volume,AdjClose
2015-01-02,IBM,161.309998,163.309998,161.0,162.059998,5525500,149.988688
2015-01-05,IBM,161.270004,161.270004,159.190002,159.509995,4880400,147.628626
2015-01-06,IBM,159.669998,159.96000700000002,155.169998,156.070007,6146700,144.444872
2015-01-07,IBM,157.199997,157.199997,154.029999,155.050003,4701800,143.500844
2015-01-08,IBM,156.240005,159.03999299999998,155.550003,158.419998,4236800,146.61982
2015-01-09,IBM,158.419998,160.33999599999999,157.25,159.110001,4488300,147.25842600000001
2015-01-12,IBM,159.0,159.25,155.759995,156.440002,4187600,144.787307
2015-01-13,IBM,157.259995,159.970001,155.679993,156.809998,4377500,145.129743
2015-01-14,IBM,154.860001,156.490005,153.740005,155.800003,4677400,144.19497900000002
2015-01-15,IBM,156.690002,156.970001,154.16000400000001,154.570007,4248400,143.056602
2015-01-16,IBM,153.820007,157.630005,153.820007,157.139999,5756000,145.435164
2015-01-20,IBM,156.699997,157.330002,154.029999,156.949997,8392800,145.259314
2015-01-21,IBM,153.029999,154.5,151.070007,152.08999599999999,11897100,140.761319
2015-01-22,IBM,151.940002,155.720001,151.759995,155.389999,6120100,143.815515
2015-01-23,IBM,155.029999,157.600006,154.889999,155.869995,4834800,144.259758
2015-01-26,IBM,158.259995,159.46000700000002,155.770004,156.360001,7888100,144.71326399999998
2015-01-27,IBM,154.940002,155.08999599999999,152.58999599999999,153.669998,5659600,142.223631
2015-01-28,IBM,154.0,154.529999,151.550003,151.550003,4495900,140.261548
2015-01-29,IBM,151.380005,155.580002,149.520004,155.479996,8320800,143.898808
2015-01-30,IBM,153.91000400000001,155.240005,153.03999299999998,153.309998,6563600,141.890446
2015-02-02,IBM,154.0,154.66000400000001,151.509995,154.66000400000001,4712200,143.139895
2015-02-03,IBM,154.75,158.600006,154.75,158.470001,5539400,146.666098
2015-02-04,IBM,157.21000700000002,158.71000700000002,156.699997,156.96000700000002,3678500,145.268578
2015-02-05,IBM,157.28999299999998,158.58999599999999,157.149994,157.91000400000001,5253600,146.14781299999999
2015-02-06,IBM,157.33999599999999,158.080002,156.229996,156.720001,3256500,146.063926
2015-02-09,IBM,156.0,157.5,155.399994,155.75,3057700,145.15987900000002
2015-02-10,IBM,156.740005,158.559998,155.080002,158.559998,4440600,147.77881299999999
2015-02-11,IBM,157.759995,159.08999599999999,157.169998,158.199997,3626700,147.44329
2015-02-12,IBM,158.720001,159.5,158.08999599999999,158.520004,3333100,147.741539
2015-02-13,IBM,158.779999,160.800003,158.639999,160.399994,3706900,149.4937
2015-02-17,IBM,159.75,161.41000400000001,159.729996,160.96000700000002,2894500,150.015635
2015-02-18,IBM,161.860001,162.470001,160.639999,162.190002,4358400,151.161998
2015-02-19,IBM,162.050003,164.490005,161.440002,163.889999,3504400,152.746404
2015-02-20,IBM,163.639999,164.33999599999999,162.08999599999999,163.649994,3353000,152.522718
2015-02-23,IBM,164.229996,164.399994,162.5,162.91000400000001,2714400,151.833043
2015-02-24,IBM,162.490005,164.990005,161.509995,164.830002,4701600,153.622492
2015-02-25,IBM,164.940002,164.96000700000002,162.580002,162.809998,4004600,151.73983700000002
2015-02-26,IBM,163.740005,164.139999,159.770004,160.869995,7110800,149.93174299999998
2015-02-27,IBM,160.869995,162.28999299999998,160.16000400000001,161.940002,4410000,150.92899599999998
2015-03-02,IBM,161.940002,161.940002,159.809998,160.479996,5917900,149.568262
2015-03-03,IBM,160.270004,161.75,160.0,161.029999,3234400,150.08086799999998
2015-03-04,IBM,160.53999299999998,160.559998,158.720001,159.419998,3633600,148.58033799999998
2015-03-05,IBM,159.860001,161.5,159.699997,161.179993,3791700,150.220663
2015-03-06,IBM,160.190002,161.440002,158.059998,158.5,4540200,147.722895
2015-03-09,IBM,158.199997,161.149994,158.199997,160.770004,5193900,149.838551
2015-03-10,IBM,159.600006,160.229996,157.809998,157.809998,4601000,147.079808
2015-03-11,IBM,158.570007,159.139999,155.940002,156.800003,5709900,146.138488
2015-03-12,IBM,156.270004,158.720001,156.270004,157.979996,4567300,147.238248
2015-03-13,IBM,157.46000700000002,157.520004,153.399994,154.279999,6064100,143.78983
2015-03-16,IBM,155.050003,157.08999599999999,154.800003,157.080002,3749600,146.399448
2015-03-17,IBM,156.199997,157.28999299999998,155.369995,156.96000700000002,3311700,146.28761200000002
2015-03-18,IBM,156.850006,160.699997,155.800003,159.809998,5738800,148.94382
2015-03-19,IBM,159.699997,160.919998,158.809998,159.809998,3878600,148.94382
2015-03-20,IBM,160.949997,163.0,160.350006,162.880005,9006400,151.80508400000002
2015-03-23,IBM,162.770004,165.350006,162.729996,164.630005,5930100,153.436094
2015-03-24,IBM,164.78999299999998,164.889999,162.899994,163.0,4346100,151.91692
2015-03-25,IBM,163.080002,163.080002,159.199997,159.199997,5428900,148.375296
2015-03-26,IBM,159.270004,161.25,158.91000400000001,160.58999599999999,4396000,149.670783
2015-03-27,IBM,160.78999299999998,160.899994,159.229996,160.399994,3477900,149.4937
2015-03-30,IBM,161.309998,163.600006,161.25,162.669998,4138000,151.60935600000002
2015-03-31,IBM,161.080002,162.330002,160.399994,160.5,4255400,149.586906
2015-04-01,IBM,160.229996,160.619995,158.389999,159.179993,3700800,148.356652
2015-04-02,IBM,159.520004,162.53999299999998,158.889999,160.449997,4671600,149.540303
2015-04-06,IBM,159.690002,162.800003,158.699997,162.03999299999998,3465700,151.022188
2015-04-07,IBM,161.669998,163.83999599999999,161.619995,162.070007,3148000,151.050162
2015-04-08,IBM,161.720001,163.550003,161.009995,161.850006,2524300,150.84511899999998
2015-04-09,IBM,161.699997,162.470001,160.720001,162.33999599999999,2263500,151.301793
2015-04-10,IBM,162.33999599999999,163.330002,161.25,162.860001,2515700,151.78644
2015-04-13,IBM,162.369995,164.0,162.360001,162.380005,3868900,151.339081
2015-04-14,IBM,162.419998,162.740005,160.78999299999998,162.300003,2719300,151.264519
2015-04-15,IBM,162.630005,164.96000700000002,162.5,164.130005,3498800,152.970091
2015-04-16,IBM,163.309998,163.979996,162.53999299999998,163.130005,3136900,152.038085
2015-04-17,IBM,161.75,161.860001,160.029999,160.669998,4314400,149.745345
2015-04-20,IBM,162.100006,166.639999,161.899994,166.16000400000001,9609200,154.862061
2015-04-21,IBM,166.070007,167.380005,164.050003,164.259995,9683600,153.091242
2015-04-22,IBM,164.389999,166.0,162.889999,165.360001,4024800,154.116454
2015-04-23,IBM,165.229996,171.91000400000001,165.139999,170.240005,8235600,158.664646
2015-04-24,IBM,170.229996,170.850006,168.740005,169.779999,3888400,158.235917
2015-04-27,IBM,170.889999,171.490005,170.300003,170.729996,3168600,159.12132
2015-04-28,IBM,170.830002,174.690002,170.020004,173.919998,5816700,162.09441999999999
2015-04-29,IBM,173.399994,175.130005,172.800003,174.399994,4518400,162.541779
2015-04-30,IBM,173.770004,174.279999,170.300003,171.28999299999998,5062900,159.64324
2015-05-01,IBM,173.199997,174.0,172.419998,173.669998,3312100,161.861418
2015-05-04,IBM,174.470001,176.300003,173.699997,173.970001,4028000,162.141023
2015-05-05,IBM,173.509995,174.229996,171.96000700000002,173.080002,3593600,161.31153899999998
2015-05-06,IBM,172.899994,174.050003,168.860001,170.050003,3612600,159.686969
2015-05-07,IBM,169.630005,171.979996,169.03999299999998,170.990005,2472000,160.56968600000002
2015-05-08,IBM,172.940002,173.330002,172.240005,172.679993,3092600,162.156684
2015-05-11,IBM,172.649994,172.990005,170.860001,171.119995,2661000,160.691754
2015-05-12,IBM,170.550003,171.490005,168.83999599999999,170.550003,2962400,160.156498
2015-05-13,IBM,171.240005,172.740005,170.75,172.279999,2457500,161.78106599999998
2015-05-14,IBM,173.5,174.399994,173.220001,174.050003,2439100,163.443204
2015-05-15,IBM,173.91000400000001,174.41000400000001,172.600006,173.259995,2916600,162.70134
2015-05-18,IBM,173.440002,173.490005,172.300003,173.059998,1970600,162.513531
2015-05-19,IBM,172.970001,173.75,171.929993,173.479996,2523000,162.907934
2015-05-20,IBM,173.330002,174.440002,172.46000700000002,173.759995,2300300,163.17086899999998
2015-05-21,IBM,173.320007,174.139999,173.03999299999998,173.33999599999999,2295600,162.776466
2015-05-22,IBM,173.03999299999998,173.389999,172.190002,172.220001,2849700,161.724725
