Date,predict,true
2016-11-25,54.252559661865234,60.03603300000001
2016-11-28,54.99143981933594,60.165247
2016-11-29,55.153987884521484,60.244766999999996
2016-11-30,54.569942474365234,60.721874
2016-12-01,53.76070022583008,59.896873
2016-12-02,52.753456115722656,58.843263
2016-12-05,53.08544921875,58.89296099999999
2016-12-06,53.52250289916992,59.857117
2016-12-07,53.57691192626953,59.588744
2016-12-08,52.83507537841797,61.000185
2016-12-09,52.913082122802734,60.64235400000001
2016-12-12,52.61434555053711,61.596572
2016-12-13,53.23646545410156,61.79536399999999
2016-12-14,53.703163146972656,62.60048400000001
2016-12-15,54.58903884887695,62.30229300000001
2016-12-16,55.066585540771484,62.202897
2016-12-19,55.4190673828125,61.924580999999996
2016-12-20,55.18910217285156,63.23662699999999
2016-12-21,55.45476150512695,63.157111
2016-12-22,54.86076354980469,63.157111
2016-12-23,54.78612518310547,63.167049
2016-12-27,55.12269973754883,62.858918999999986
2016-12-28,55.493160247802734,62.89867499999999
2016-12-29,55.574886322021484,62.610426
2016-12-30,55.13713836669922,62.520968
