Date,predict,true
2016-11-25,54.343528747558594,60.03603300000001
2016-11-28,54.428382873535156,60.165247
2016-11-29,54.52732849121094,60.244766999999996
2016-11-30,54.62839889526367,60.721874
2016-12-01,54.72614288330078,59.896873
2016-12-02,54.817508697509766,58.843263
2016-12-05,54.89163589477539,58.89296099999999
2016-12-06,54.93545913696289,59.857117
2016-12-07,54.95075607299805,59.588744
2016-12-08,54.94113540649414,61.000185
2016-12-09,54.927940368652344,60.64235400000001
2016-12-12,54.92704391479492,61.596572
2016-12-13,54.950904846191406,61.79536399999999
2016-12-14,54.99974060058594,62.60048400000001
2016-12-15,55.081634521484375,62.30229300000001
2016-12-16,55.18903732299805,62.202897
2016-12-19,55.31575012207031,61.924580999999996
2016-12-20,55.448917388916016,63.23662699999999
2016-12-21,55.58599090576172,63.157111
2016-12-22,55.72411346435547,63.157111
2016-12-23,55.86366271972656,63.167049
2016-12-27,56.00385284423828,62.858918999999986
2016-12-28,56.135650634765625,62.89867499999999
2016-12-29,56.253944396972656,62.610426
2016-12-30,56.35328674316406,62.520968
