Date,predict,true
2016-11-25,52.55291748046875,60.03603300000001
2016-11-28,52.6449089050293,60.165247
2016-11-29,52.72432327270508,60.244766999999996
2016-11-30,52.79261016845703,60.721874
2016-12-01,52.8617057800293,59.896873
2016-12-02,52.910091400146484,58.843263
2016-12-05,52.91365432739258,58.89296099999999
2016-12-06,52.88461685180664,59.857117
2016-12-07,52.85891342163086,59.588744
2016-12-08,52.83919143676758,61.000185
2016-12-09,52.85777282714844,60.64235400000001
2016-12-12,52.897396087646484,61.596572
2016-12-13,52.96645736694336,61.79536399999999
2016-12-14,53.05928421020508,62.60048400000001
2016-12-15,53.1781005859375,62.30229300000001
2016-12-16,53.303672790527344,62.202897
2016-12-19,53.421791076660156,61.924580999999996
2016-12-20,53.521392822265625,63.23662699999999
2016-12-21,53.63085174560547,63.157111
2016-12-22,53.7449836730957,63.157111
2016-12-23,53.856143951416016,63.167049
2016-12-27,53.95795822143555,62.858918999999986
2016-12-28,54.04168701171875,62.89867499999999
2016-12-29,54.10902786254883,62.610426
2016-12-30,54.15711975097656,62.520968
